1689033600.0,802
1688947200.0,800
1688860800.0,800
1688774400.0,800
1688688000.0,798
1688601600.0,795
1688515200.0,783
1688428800.0,779
1688342400.0,772
1688256000.0,772
1688169600.0,772
1688083200.0,767
1687996800.0,762
1687910400.0,758
1687824000.0,755
1687737600.0,753
1687651200.0,753
1687564800.0,753
1687478400.0,750
1687392000.0,746
1687305600.0,745
1687219200.0,741
1687132800.0,739
1687046400.0,739
1686960000.0,739
1686873600.0,738
1686787200.0,737
1686700800.0,737
1686614400.0,736
1686528000.0,736
1686441600.0,736
1686355200.0,736
1686268800.0,734
1686182400.0,733
1686096000.0,732
1686009600.0,730
1685923200.0,728
1685836800.0,728
1685750400.0,728
1685664000.0,725
1685577600.0,720
1685491200.0,717
1685404800.0,712
1685318400.0,712
1685232000.0,712
1685145600.0,712
1685059200.0,706
1684972800.0,701
1684886400.0,689
1684800000.0,679
1684713600.0,672
1684627200.0,672
1684540800.0,672
1684454400.0,662
1684368000.0,662
1684281600.0,626
1684195200.0,588
1684108800.0,545
1684022400.0,545
1683936000.0,545
1683849600.0,506
1683763200.0,474
1683676800.0,454
1683590400.0,444
1683504000.0,438
1683417600.0,438
1683331200.0,438
1683244800.0,433
1683158400.0,430
1683072000.0,422
1682985600.0,402
1682899200.0,382
1682812800.0,382
1682726400.0,382
1682640000.0,369
1682553600.0,369
1682467200.0,353
1682380800.0,338
1682294400.0,317
1682208000.0,317
1682035200.0,298
