1689033600.0,1206
1688947200.0,1161
1688860800.0,1161
1688774400.0,1161
1688688000.0,1113
1688601600.0,1068
1688515200.0,1049
1688428800.0,1017
1688342400.0,995
1688256000.0,995
1688169600.0,995
1688083200.0,966
1687996800.0,950
1687910400.0,943
1687824000.0,914
1687737600.0,869
1687651200.0,869
1687564800.0,869
1687478400.0,830
1687392000.0,822
1687305600.0,775
1687219200.0,758
1687132800.0,720
1687046400.0,720
1686960000.0,720
1686873600.0,672
1686787200.0,629
1686700800.0,578
1686614400.0,527
1686528000.0,480
1686441600.0,480
1686355200.0,480
1686268800.0,432
1686182400.0,382
1686096000.0,331
1686009600.0,278
1685923200.0,227
1685836800.0,227
1685750400.0,227
1685664000.0,191
1685577600.0,160
1685491200.0,106
1685404800.0,89
1685318400.0,89
1685232000.0,89
1685145600.0,89
1685059200.0,37
1684972800.0,0
1684886400.0,0
1684800000.0,0
1684713600.0,0
1684627200.0,0
1684540800.0,0
1684454400.0,0
1684368000.0,0
1684281600.0,0
1684195200.0,0
1684108800.0,0
1684022400.0,0
1683936000.0,0
1683849600.0,0
1683763200.0,0
1683676800.0,0
1683590400.0,0
1683504000.0,0
1683417600.0,0
1683331200.0,0
1683244800.0,0
1683158400.0,0
1683072000.0,0
1682985600.0,0
1682899200.0,0
1682812800.0,0
1682726400.0,0
1682640000.0,0
1682553600.0,0
1682467200.0,0
1682380800.0,0
1682294400.0,0
1682208000.0,0
1682035200.0,0
